errorType,difficultyLevel,sentenceCorpus,correctAnswer
Relative Clauses,beginner,"The man {who,what,where,which} I married is Canadian.",whom
Relative Clauses,beginner,"The man {who,what,where,which} she divorced was unkind.",whom
Relative Clauses,beginner,"The man {who,what,where,which} she caught was the murderer.",whom
Relative Clauses,intermediate,"He is a man {who,what,where,which} I have trusted with all my investments.",whom
Relative Clauses,intermediate,"He is the man {who,what,where,which} his followers call the ""People's Pope"".",whom
Relative Clauses,intermediate,"There is the man {who,what,where,which} he suspected of having an affair with his wife.",whom
Relative Clauses,intermediate,"He became a man {who,what,where,which} others feared.",whom
Relative Clauses,intermediate,"He was a man {who,what,where,which} no one recognized.",whom
Relative Clauses,intermediate,"The men {who,what,where,which} I just met said they were leaving tomorrow.",whom
Relative Clauses,intermediate,"The man {who,what,where,which} I borrowed the money from is my uncle.",whom
Relative Clauses,intermediate,"He is the man {who,what,where,which} I suspect stole my wallet.",whom
Relative Clauses,intermediate,"He is a man {who,what,where,which} I've trusted for many years.",whom
Relative Clauses,intermediate,"There is the man {who,what,where,which} I would prefer to hire.",whom
Relative Clauses,advanced,"He was the man {who,what,where,which} everyone thought would be the next president.",whom
Relative Clauses,advanced,"He was the man {who,what,where,which} my niece thought was her soulmate.",whom
Relative Clauses,advanced,"He was the man {who,what,where,which} everyone called the ""Mad Dog of the Middle East"".",whom
Relative Clauses,advanced,"The man {who,what,where,which} the government arrested was later found innocent.",whom
Relative Clauses,advanced,"The men {who,what,where,which} the reporters followed were famous musicians.",whom
Relative Clauses,advanced,"The man {who,what,where,which} I recognized in the photo came to the classroom.",whom
Relative Clauses,advanced,"The man {who,what,where,which} he had met as a child turned out later to be his real father.",whom
Relative Clauses,advanced,"A man {who,what,where,which} she had never seen before followed her all day.",whom
Relative Clauses,advanced,"The man {who,what,where,which} we admired turned out to be a liar and a fraud.",whom
Relative Clauses,advanced,"The man {who,what,where,which} they regard as their father was not their biological father.",whom
Relative Clauses,beginner,"She was the woman {who,what,where,which} he later married.",whom
Relative Clauses,beginner,"Clinton is a woman {who,what,where,which} many voters like.",whom
Relative Clauses,beginner,"A woman {who,what,where,which} I admire is Angelina Jolie.",whom
Relative Clauses,beginner,"A woman {who,what,where,which} many people like is Kate Middleton.",whom
Relative Clauses,beginner,"A woman {who,what,where,which} many people recognize is Oprah.",whom
Relative Clauses,beginner,"She is a woman {who,what,where,which} many people like.",whom
Relative Clauses,beginner,"She is a woman {who,what,where,which} many people respect.",whom
Relative Clauses,beginner,"She is a woman {who,what,where,which} men often fear.",whom
Relative Clauses,beginner,"She is a woman {who,what,where,which} the children love.",whom
Relative Clauses,beginner,"She is a woman {who,what,where,which} the press adores.",whom
Relative Clauses,intermediate,"She was the woman {who,what,where,which} I called my closest friend.",whom
Relative Clauses,intermediate,"She was a very nice woman {who,what,where,which} I would like to see again.",whom
Relative Clauses,intermediate,"A woman {who,what,where,which} we met befriended my family last year.",whom
Relative Clauses,intermediate,"The woman {who,what,where,which} we knew by one name was really someone else.",whom
Relative Clauses,intermediate,"Princess Diana was a woman {who,what,where,which} the world watched and admired.",whom
Relative Clauses,intermediate,"Michelle Obama is a woman {who,what,where,which} many people respect.",whom
Relative Clauses,intermediate,"Lady Gaga is a woman {who,what,where,which} many young people enjoy.",whom
Relative Clauses,intermediate,"She was an attractive and elegant woman {who,what,where,which} he later married.",whom
Relative Clauses,intermediate,"She was an unkind woman {who,what,where,which} he later divorced.",whom
Relative Clauses,intermediate,"She was a fun-loving woman {who,what,where,which} we would all miss greatly.",whom
Relative Clauses,advanced,"Indira Gandhi was a woman {who,what,where,which} many people credit for shaping her country's society.",whom
Relative Clauses,advanced,"Joan of Arc was a woman {who,what,where,which} the British burned at the stake for encouraging the French to rebel.",whom
Relative Clauses,advanced,"The woman {who,what,where,which} the reporters were following at high speed in the tunnel was Princess Diana.",whom
Relative Clauses,advanced,"Margaret Thatcher was a woman {who,what,where,which} many credited with turning around the British economy.",whom
Relative Clauses,advanced,"The woman {who,what,where,which} some claimed to be the missing daughter of the Czar was proved to be a fraud.",whom
Relative Clauses,advanced,"Anne Frank was a young woman {who,what,where,which} the Nazis killed during World War II.",whom
Relative Clauses,advanced,"Emily Dickinson was a woman {who,what,where,which} many poets appreciate.",whom
Relative Clauses,advanced,"The women {who,what,where,which} we met yesterday had arrived in this country only last week.",whom
Relative Clauses,advanced,"The women {who,what,where,which} we saw at the concert are very famous in their home country.",whom
Relative Clauses,advanced,"The women {who,what,where,which} we heard at the conference today were excellent speakers.",whom
Relative Clauses,beginner,"He is the man {who,what,where,which} I saw.",whom
Relative Clauses,beginner,"She is the woman {who,what,where,which} he married.",whom
Relative Clauses,beginner,"He is the son {who,what,where,which} they raised.",whom
Relative Clauses,beginner,"I didn't know anyone {who,what,where,which} they knew.",whom
Relative Clauses,beginner,"They had several children {who,what,where,which} they loved.",whom
Relative Clauses,beginner,"The man took several hostages {who,what,where,which} he killed.",whom
Relative Clauses,beginner,"The monster {who,what,where} Harry killed was Voldemort.",whom
Relative Clauses,beginner,"The monsters {who,what,where} they fought were called Dementors.",whom
Relative Clauses,beginner,"The creatures {who,what,where} they saved were grateful.",whom
Relative Clauses,beginner,"The wizard {who,what,where,which} he lost was his godfather.",whom
Relative Clauses,intermediate,"The copilot {who,what,where,which} I met was dressed in an Air Canada uniform.",whom
Relative Clauses,intermediate,"That is the driver {who,what,where,which} he blamed for his car accident.",whom
Relative Clauses,intermediate,"The counselor {who,what,where,which} we heard speak was a psychologist.",whom
Relative Clauses,intermediate,"He beat his opponent {who,what,where,which} he later described as fierce.",whom
Relative Clauses,intermediate,"The cabdriver {who,what,where,which} he hailed refused to stop.",whom
Relative Clauses,intermediate,"The doctor {who,what,where,which} she sees plans to retire.",whom
Relative Clauses,intermediate,"History is full of child leaders {who,what,where,which} were manipulated by others.",who
Relative Clauses,intermediate,"History is full of politicians {who,what,where,which} we know were corrupt.",whom
Relative Clauses,intermediate,"The patients {who,what,where,which} they treat there all have cancer.",whom
Relative Clauses,intermediate,"The other parents {who,what,where,which} I met were also concerned about bullying.",whom
Relative Clauses,advanced,"The director, {who,what,where,which} we had known for many years, gave us tickets to the performance.",whom
Relative Clauses,advanced,"The actors {who,what,where,which} the press often hounds are paying a high price for their fame.",whom
Relative Clauses,advanced,"The detectives {who,what,where,which} were investigating came by again and left their business cards.",who
Relative Clauses,advanced,"The contractor {who,what,where,which} they had hired subcontracted the work out to a cheaper company.",whom
Relative Clauses,advanced,"The assembly was gathered to honor several people {who,what,where,which} were identified as the bravest of the warriors.",who
Relative Clauses,advanced,"The group of evil wizards {who,what,where,which} they fought were called Death Eaters.",whom
Relative Clauses,advanced,"Staff {who,what,where,which} are hired by famous people are often required to sign non-disclosure contracts.",who
Relative Clauses,advanced,"The customers {who,what,where,which} we want to attract are young people with a disposable income.",whom
Relative Clauses,advanced,"The employees {who,what,where,which} they fired were all guilty of harassing the new recruits.",whom
Relative Clauses,advanced,"The hockey teams {who,what,where,which} he follows are mainly from the Western Division.",whom
negation,beginner,{either} Jack nor Tom went out today.,neither
negation,beginner,It was {either} too cold nor hot today.,neither
negation,beginner,I know about {either} Emily nor Emma.,neither
negation,beginner,I have {either} time nor money.,neither
negation,beginner,She has {either} a mom nor dad.,neither
negation,beginner,I like {either} vegetables nor fruits.,neither
negation,beginner,She has {either} a sister nor a brother.,neither
negation,beginner,There are {either} people nor animals outside.,neither
negation,beginner,I play {either} soccer nor basketball.,neither
negation,beginner,I like {either} natto nor ramen.,neither
negation,intermediate,My mother is {either} pleased nor dissatisfied with my grades.,neither
negation,intermediate,{either} bullet trains nor airplanes are fast enough.,neither
negation,intermediate,{either} my parents nor the school is happy with me.,neither
negation,intermediate,{either} Jeremy's parents nor his friends knew his whereabouts.,neither
negation,intermediate,{either} his older sister nor his younger sister has a job.,neither
negation,intermediate,My father {either} drinks nor smokes.,neither
negation,intermediate,I like {either} adventure novels nor horror stories.,neither
negation,intermediate,{either} Anna nor her peers were ready for the final exam.,neither
negation,intermediate,{either} New York nor Los Angeles are quiet cities.,neither
negation,intermediate,You are {either} overweight nor too skinny.,neither
negation,advanced,{either} America nor Japan wants to start a trade war.,neither
negation,advanced,{either} plan A nor plan B will reduce enough carbon dioxide to significantly improve earth's condition.,neither
negation,advanced,{either} my friend nor I will go to the high school reunion since we didn't have close friends there.,neither
negation,advanced,{either} my sister nor I wanted to go to the gym to exercise because we felt too lazy today.,neither
negation,advanced,{either} the Democrats nor the Republicans were willing to back down during the debate.,neither
negation,advanced,{either} all the money in the world nor fame can get you true love.,neither
negation,advanced,I would want to live in {either} an extremely hot climate nor an extremely cold one.,neither
negation,advanced,{either} complaining nor procrastinating will help you get your work done.,neither
negation,advanced,"{either} high school students nor college students are completely sensible, and often prioritize fun things.",neither
negation,advanced,{either} a hamburger nor tomato sauce spaghetti sounds appetizing to me right now.,neither
Subjunctive,beginner,"If I {was,be,being,been} you, I would go.",were
Subjunctive,beginner,"If I {was,be,being,been} her, I would leave.",were
Subjunctive,beginner,"If I {was,be,being,been} you, I'd take an umbrella.",were
Subjunctive,beginner,"If I {was,be,being,been} you, I wouldn't eat that.",were
Subjunctive,beginner,"If I {was,be,being,been} there, I'd go with you.",were
Subjunctive,beginner,"If I {was,be,being,been} a king, I'd make peace.",were
Subjunctive,beginner,"If I {was,be,being,been} rich, I'd build a school.",were
Subjunctive,beginner,"If I {was,be,being,been} still single, I'd get married.",were
Subjunctive,intermediate,"I wouldn't do that if I {was,be,being,been} you.",were
Subjunctive,intermediate,"If I {was,be,being,been} you, I wouldn't worry about it.",were
Subjunctive,intermediate,"If I {was,be,being,been} you, I'd buy bottled water and batteries.",were
Subjunctive,intermediate,"If I {was,be,being,been} to guess, I would say it is a good choice.",were
Subjunctive,intermediate,"I could reach it if I {was,be,being,been} a little bit taller.",were
Subjunctive,intermediate,"I could compete if I {was,be,being,been} a little bit stronger.",were
Subjunctive,intermediate,"If I {was,be,being,been} a better English speaker, I could get a job overseas.",were
Subjunctive,intermediate,"If I {was,be,being,been} an animal, I'd be a cat.",were
Subjunctive,intermediate,"If I {was,be,being,been} feeling better, I would definitely go with you.",were
Subjunctive,intermediate,"If I {was,be,being,been} you, I wouldn't push your luck.",were
Subjunctive,advanced,"If I {was,be,being,been} you, I'd go to bed early tonight so you can be fresh tomorrow.",were
Subjunctive,advanced,"If I {was,be,being,been} in charge, I would change the policies for teachers.",were
Subjunctive,advanced,"I'd go out if I {was,be,being,been}n't feeling so sick.",were
Subjunctive,advanced,"If I {was,be,being,been} an engineer, I would look for a chemical safer than water to use for geothermal energy production.",were
Subjunctive,advanced,"If I {was,be,being,been} a parent, I would feed my children only very healthy food.",were
Subjunctive,advanced,"If only I {was,be,being,been} able to save her from the flood.",were
Subjunctive,advanced,"Would you come to the party if I {was,be,being,been} to invite your classmates?",were
Subjunctive,advanced,"If I {was,be,being,been} to sign up for an aikido class, would you come with me?",were
Subjunctive,advanced,"If I {was,be,being,been} Harry Potter, I am not sure I would have been so brave in those battles with his enemy.",were
Subjunctive,advanced,"If I {was,be,being,been} the prime minister, I think it would be difficult to balance the views of industry leaders who want nuclear power and citizens who don't.",were
Subjunctive,beginner,"If you {was,be,being,been} me, what would you do?",were
Subjunctive,beginner,"What would you do if you {was,be,being,been} me?",were
Subjunctive,beginner,"If you {was,be,being,been} free, would you go?",were
Subjunctive,beginner,"If you {was,be,being,been} able, would you join us?",were
Subjunctive,beginner,"If you {was,be,being,been} taller, would you play basketball?",were
Subjunctive,beginner,"If you {was,be,being,been} bored, what would you do?",were
Subjunctive,beginner,"If you {was,be,being,been} me, where would you live?",were
Subjunctive,beginner,"If you {was,be,being,been} me, what would you eat?",were
Subjunctive,beginner,"If you {was,be,being,been} me, what would you wear?",were
Subjunctive,beginner,"If you {was,be,being,been} me, what would you choose?",were
Subjunctive,intermediate,"If you {was,be,being,been} able to live anywhere, where would you choose?",were
Subjunctive,intermediate,"If you {was,be,being,been} an actor, what role would you want to play?",were
Subjunctive,intermediate,"If you {was,be,being,been} in my shoes, what would you do?",were
Subjunctive,intermediate,"If you {was,be,being,been} an animal, which would you choose?",were
Subjunctive,intermediate,"If you {was,be,being,been} in charge, what would you do?",were
Subjunctive,intermediate,"If you {was,be,being,been} here, we would have so much fun together.",were
Subjunctive,advanced,"If you {was,be,being,been} a musician, what instrument would you play?",were
Subjunctive,advanced,"If you {was,be,being,been} able to go anywhere or do anything, what would you do?",were
Subjunctive,advanced,"If you {was,be,being,been} unemployed, where would you look for another job?",were
Subjunctive,advanced,"If you {was,be,being,been} as hungry as I am, you wouldn't be taking so long to get ready to go out for dinner.",were
Subjunctive,advanced,"If you {was,be,being,been} an economist, would you recommend raising taxes?",were
Subjunctive,advanced,"If you {was,be,being,been} the one who had gotten fired, wouldn't you see this from my point of view?",were
Subjunctive,advanced,"If you {was,be,being,been} thinking of coming over, today is the best day.",were
Subjunctive,advanced,"If you {was,be,being,been} a parent, would you let your children watch these televisions shows?",were
Subjunctive,advanced,"If you {was,be,being,been} able to vote in the next election, what party would you support?",were
Subjunctive,beginner,"If he {was,be,being,been} here, I'd invite him.",were
Subjunctive,beginner,"If he {was,be,being,been} in Japan, I'd know.",were
Subjunctive,beginner,"If he {was,be,being,been} alive, he would tell you.",were
Subjunctive,beginner,"If he {was,be,being,been} alive, he would be here.",were
Subjunctive,beginner,"If he {was,be,being,been} my father, I'd write him.",were
Subjunctive,beginner,"If he {was,be,being,been} my father, I'd forgive him.",were
Subjunctive,beginner,"If he {was,be,being,been} my brother, I'd help him.",were
Subjunctive,beginner,"If he {was,be,being,been} a woman, he'd be beautiful.",were
Subjunctive,beginner,"If he {was,be,being,been} here, he'd make us laugh.",were
Subjunctive,beginner,"If he {was,be,being,been} in Japan, I'd invite him.",were
Subjunctive,intermediate,"If he {was,be,being,been} a few years older, he could join.",were
Subjunctive,intermediate,"If he {was,be,being,been} my father, I'd tell him how I felt.",were
Subjunctive,intermediate,"If he {was,be,being,been} my husband, I'd divorce him.",were
Subjunctive,intermediate,"If he {was,be,being,been} my son, I'd help him make better choices.",were
Subjunctive,intermediate,"If he {was,be,being,been} my brother, I wouldn't tell our parents what he did.",were
Subjunctive,intermediate,"If he {was,be,being,been} here now, he would be so proud of you.",were
Subjunctive,intermediate,"If he {was,be,being,been} going to be late, he would have called.",were
Subjunctive,intermediate,"If he {was,be,being,been} playing for the Yankees, he'd be more famous.",were
Subjunctive,intermediate,"If he {was,be,being,been} my friend, I'd tell him the truth.",were
Subjunctive,intermediate,"If he {was,be,being,been} on this team, I know we'd win.",were
Subjunctive,advanced,"If he {was,be,being,been} just a few years older, he would be able to marry without permission.",were
Subjunctive,advanced,"If he {was,be,being,been} just a few years older, he could apply for that training.",were
Subjunctive,advanced,"If he {was,be,being,been} a few kilograms heavier, he would not qualify for the parachute training.",were
Subjunctive,advanced,"He could box as a light weight if he {was,be,being,been} a few kilograms heavier.",were
Subjunctive,advanced,"If he {was,be,being,been} interested in playing professionally, he would be able to be on the Olympic team.",were
Subjunctive,advanced,"If he {was,be,being,been} the first NHL draft pick, the team would gain a valuable player.",were
Subjunctive,advanced,"If he {was,be,being,been} a banker, he might lose his job in this financial crisis.",were
Subjunctive,advanced,"If he {was,be,being,been} here now, I know he would do anything for you.",were
Subjunctive,advanced,"I can't help but wonder how things would be different if he {was,be,being,been} here.",were
Subjunctive,advanced,"He could fix this for us if he {was,be,being,been} a programmer, but he can't write code.",were
Subjunctive,beginner,"If it {was,be,being,been} me, I'd leave.",were
Subjunctive,beginner,"If it {was,be,being,been} me, I'd quit.",were
Subjunctive,beginner,"If it {was,be,being,been} me, I'd join.",were
Subjunctive,beginner,"If it {was,be,being,been} me, I'd tell the truth.",were
Subjunctive,intermediate,"If it {was,be,being,been} mine, why did you take it?",were
Subjunctive,intermediate,"If it {was,be,being,been} mine, I'd gladly give it to you.",were
Subjunctive,intermediate,"If it {was,be,being,been} his, why did you give it to me?",were
Subjunctive,intermediate,"If it {was,be,being,been} Sunday, I'd happily sleep late.",were
Subjunctive,intermediate,"If it {was,be,being,been} possible, I would completely change all English grammar.",were
Subjunctive,intermediate,"If it {was,be,being,been} up to me, I'd go for it.",were
Subjunctive,intermediate,"If it {was,be,being,been} allowed, I'd let students use these software tools.",were
Subjunctive,intermediate,"If it {was,be,being,been} not safe, I would not let him go.",were
Subjunctive,intermediate,"If it {was,be,being,been} rated R, I would not have taken them to see it.",were
Subjunctive,intermediate,"If it {was,be,being,been} my job, I would try not to work so much overtime.",were
Subjunctive,advanced,"If it {was,be,being,been} possible to make English an easier language to speak and learn, I would simplify it.",were
Subjunctive,advanced,"If it {was,be,being,been} possible to eat more chocolate and stay fit, I would do it.",were
Subjunctive,advanced,"If it {was,be,being,been} summer, we could stay up as late as we wanted.",were
Subjunctive,advanced,"If it {was,be,being,been} not for the heavy snow, I'd gladly go with you.",were
Subjunctive,advanced,"If it {was,be,being,been} up to me, we would stay right here for the holiday and not have to deal with all the traffic.",were
Subjunctive,advanced,"If it {was,be,being,been} more dangerous to travel in that area, I would have asked him not to go.",were
Subjunctive,advanced,"If it {was,be,being,been}n't so cold and wet, I would sweep up all the fallen leaves.",were
Subjunctive,advanced,"If it {was,be,being,been}n't a question of time, I would be finished by now.",were
Subjunctive,advanced,"If it {was,be,being,been}n't so important, she would not keep reminding you to work on it.",were
Subjunctive,advanced,"If it {was,be,being,been} my project, I would have fired her a long time ago.",were
Subjunctive,beginner,"Wouldn't it be great if they {was,be,being,been} here?",were
Subjunctive,beginner,"If they {was,be,being,been} puppies, I'd take one.",were
Subjunctive,beginner,"If they {was,be,being,been} healthy, I'd eat them.",were
Subjunctive,beginner,"If they {was,be,being,been} ripe, we could eat them.",were
Subjunctive,beginner,"If they {was,be,being,been} safe, I could relax.",were
Subjunctive,beginner,"If they {was,be,being,been} late, they should have called.",were
Subjunctive,beginner,"I would know if they {was,be,being,been} here.",were
Subjunctive,beginner,"I would hear if they {was,be,being,been} here.",were
Subjunctive,beginner,"I would be happy if they {was,be,being,been} here.",were
Subjunctive,beginner,"I would be sad if they {was,be,being,been} gone.",were
Subjunctive,intermediate,"If they {was,be,being,been} on sale, I would buy more than one.",were
Subjunctive,intermediate,"If they {was,be,being,been} too busy, they should have just said so.",were
Subjunctive,intermediate,"If they {was,be,being,been} at my house, I would have fed them.",were
Subjunctive,intermediate,"I would not know what to do if they {was,be,being,been} arrested.",were
Subjunctive,intermediate,"I would buy many tickets if they {was,be,being,been} for the charitable purposes.",were
Subjunctive,intermediate,"I would join the volunteer activities if they {was,be,being,been} for the victims of the disaster.",were
Subjunctive,intermediate,"If they {was,be,being,been} in an earthquake, the cell phones might not work.",were
Subjunctive,intermediate,"If they {was,be,being,been} in a flood zone, they might not have survived.",were
Subjunctive,intermediate,"If they {was,be,being,been} still good, I would have eaten them.",were
Subjunctive,advanced,"If they {was,be,being,been} just a little older, I wouldn't have to drive them to those early morning practice games.",were
Subjunctive,advanced,"If they {was,be,being,been} my children, I would not allow them to run wild in public like that.",were
Subjunctive,advanced,"If they {was,be,being,been} in Hawaii, they would feel much more relaxed.",were
Subjunctive,advanced,"If they {was,be,being,been} still here, I know my parents would be proud of my sons.",were
Subjunctive,advanced,"If they {was,be,being,been} not too expensive, I'd put solar panels on my house.",were
Subjunctive,advanced,"If they {was,be,being,been} hoping to book a tennis court, they needed to call very early in the morning.",were
Subjunctive,advanced,"If they {was,be,being,been} rude, I would just ignore them.",were
Subjunctive,advanced,"They said that if they {was,be,being,been} in town, they would get in touch with us.",were
Subjunctive,advanced,"If they {was,be,being,been} worried about flight delays, they should have checked the weather.",were
Subjunctive,beginner,"If we {was,be,being,been} sisters, I'd be so happy!",were
Subjunctive,beginner,"If we {was,be,being,been} married, we could live here.",were
Subjunctive,beginner,"If we {was,be,being,been} men, they would listen.",were
Subjunctive,beginner,"If we {was,be,being,been} taller, we could see.",were
Subjunctive,beginner,"If we {was,be,being,been} richer, we could travel.",were
Subjunctive,beginner,"If we {was,be,being,been} there, we could help you.",were
Subjunctive,beginner,"If we {was,be,being,been} older, we'd be dead.Just kidding, ...we'd retire.",were
Subjunctive,beginner,"If we {was,be,being,been} angels, we could love everyone.",were
Subjunctive,beginner,"If we {was,be,being,been} younger, I'd study aikido.",were
Subjunctive,beginner,"If we {was,be,being,been} younger, I'd travel more often.",were
Subjunctive,intermediate,"If we {was,be,being,been} stuck in that airport, we'd be so tired.",were
Subjunctive,intermediate,"If we {was,be,being,been} able to fly, I'd never walk.",were
Subjunctive,intermediate,"If we {was,be,being,been} musicians, wow...wouldn't that be great?",were
Subjunctive,intermediate,"If we {was,be,being,been} serious about fitness, we would exercise every morning.",were
Subjunctive,intermediate,"If we {was,be,being,been} smarter, we would have finished this by now.",were
Subjunctive,intermediate,"If we {was,be,being,been} wise, we would be grateful every day.",were
Subjunctive,intermediate,"If we {was,be,being,been} all alike, life would be boring.",were
Subjunctive,intermediate,"If we {was,be,being,been} all the same, would life be safer?",were
Subjunctive,intermediate,"If we {was,be,being,been} to come, what would we need to bring?",were
Subjunctive,intermediate,"If we {was,be,being,been} to buy it now, how much would it cost?",were
Subjunctive,advanced,"If we {was,be,being,been} running the government, I'd make sure teachers made more money.",were
Subjunctive,advanced,"If we {was,be,being,been} in charge of the government, I would pay more money to people who help people than to bankers.",were
Subjunctive,advanced,"If we {was,be,being,been} to stop now, we could get home before dark.",were
Subjunctive,advanced,"If we {was,be,being,been} foreigners, we would better understand how it feels to be the outsider.",were
Subjunctive,advanced,"If we {was,be,being,been} here by ourselves, we could make lots of noise.",were
Subjunctive,advanced,"If we {was,be,being,been} here by ourselves, we could turn the music up really loud.",were
Subjunctive,advanced,"If we {was,be,being,been} really honest with ourselves, we would forgive others more than we do.",were
Subjunctive,advanced,"If we {was,be,being,been} willing to risk it, we could climb up on the roof to watch the moon.",were
Subjunctive,advanced,"If we {was,be,being,been} braver, we would stand up to people to discriminate against our Muslim neighbors.",were
Subjunctive,advanced,"If we {was,be,being,been} better parents, we would have loved more and yelled less.",were
verb + to-infinitive,beginner,I {wanting} to sleep.,want
verb + to-infinitive,beginner,Do you {wanting} to go?,want
verb + to-infinitive,beginner,He {wanting} to eat soon.,wants
verb + to-infinitive,beginner,I {wanting} to visit Kyoto.,want
verb + to-infinitive,beginner,I {wanting} to see the cherry blossoms.,want
verb + to-infinitive,beginner,I {wanting} to eat sushi.,want
verb + to-infinitive,beginner,She {wanting} to play cards.,wants
verb + to-infinitive,beginner,They {wanting} to go home.,want
verb + to-infinitive,beginner,I {wanting} to see a movie.,want
verb + to-infinitive,beginner,Do you {wanting} to read this book?,want
verb + to-infinitive,intermediate,Many people {wanting} to be rich and famous.,want
verb + to-infinitive,intermediate,She {wanting} to enter her photos into the contest.,wanted
verb + to-infinitive,intermediate,Her parents {wanting} her to be a doctor.,wanted
verb + to-infinitive,intermediate,The survivors {wanting} to find their missing family members.,wanted
verb + to-infinitive,intermediate,I {wanting} to finish early so I could go to the park.,wanted
verb + to-infinitive,intermediate,His children {wanting} him to take them all out for ice cream.,wanted
verb + to-infinitive,intermediate,She {wanting} to make a difference in the lives of the orphans.,wanted
verb + to-infinitive,intermediate,Many people don't really know what they {wanting} to do.,want
verb + to-infinitive,intermediate,Do you {wanting} to eat in front of the television tonight?,want
verb + to-infinitive,intermediate,I {wanting} to hang the futons in the morning sun.,want
verb + to-infinitive,advanced,I called but you were busy and I didn't {wanting} to interrupt.,want
verb + to-infinitive,advanced,So many high school graduates don't know what they {wanting} to study at university.,want
verb + to-infinitive,advanced,She {wanting} to write a book but ended up just reading one instead.,wanted
verb + to-infinitive,advanced,"I {wanting} to know where it was, but I couldn't get an answer.",wanted
verb + to-infinitive,advanced,I {wanting} to hear about your trip to all those countries in Europe.,want
verb + to-infinitive,advanced,She {wanting} to study law but could not get a scholarship to law school.,wanted
verb + to-infinitive,advanced,Harry didn't {wanting} to put his friends at risk when he faced his enemy.,want
verb + to-infinitive,advanced,Everyone {wanting} to eat there but no one wanted to pay the bill.,wanted
verb + to-infinitive,advanced,I've always {wanting} to know how so many people can live together so peacefully.,wanted
verb + to-infinitive,beginner,"We {beginning,begun} to understand.",began
verb + to-infinitive,beginner,"I {beginning,begun} to see.",began
verb + to-infinitive,beginner,"It {beginning,begun} to rain.",began
verb + to-infinitive,beginner,"The water {beginning,begun} to rise.",began
verb + to-infinitive,beginner,"He {beginning,begun} to cry.",began
verb + to-infinitive,beginner,"The dog {beginning,begun} to bark.",began
verb + to-infinitive,beginner,"The sun {beginning,begun} to rise.",began
verb + to-infinitive,beginner,"The flowers {beginning,begun} to open.",began
verb + to-infinitive,beginner,"The animals {beginning,begun} to run.",began
verb + to-infinitive,intermediate,"As soon as the room {beginning,begun} to shake, we climbed under the table.",began
verb + to-infinitive,intermediate,"By three o'clock, we all {beginning,begun} to watch the clock.",began
verb + to-infinitive,intermediate,"We finally decided to sell the house when the roof {beginning,begun} to leak.",began
verb + to-infinitive,intermediate,"He {beginning,begun} to fear for their safety.",began
verb + to-infinitive,intermediate,"The choir stood and {beginning,begun} to sing.",began
verb + to-infinitive,intermediate,"The tea kettle {beginning,begun} to whistle, so I took two cups from the shelf.",began
verb + to-infinitive,intermediate,"She {beginning,begun} to walk more and more slowly.",began
verb + to-infinitive,intermediate,"Her memory {beginning,begun} to fail until finally she no longer knew me.",began
verb + to-infinitive,intermediate,"I {beginning,begun} to feel better, so I got some work done.",began
verb + to-infinitive,advanced,"Once that sort of mole {beginning,begun} to turn black, you really must see a doctor.",begins
verb + to-infinitive,advanced,"When it {beginning,begun} to rain, we raced inside, laughing.",began
verb + to-infinitive,advanced,"When the sky {beginning,begun} to darken, she closed all the windows and locked the doors.",began
verb + to-infinitive,advanced,"When he {beginning,begun} to cry, she picked him up and hugged him tightly.",began
verb + to-infinitive,advanced,"His mother {beginning,begun} to complain again, so she left the room.",began
verb + to-infinitive,advanced,"When the ink on the documents {beginning,begun} to fade, she knew it was time to change the printer cartridge.",began
verb + to-infinitive,advanced,"The music {beginning,begun} to play, the audience stood, and the graduates slowly walked into the auditorium.",began
verb + to-infinitive,advanced,"When the room {beginning,begun} to heat up, the students fell asleep one by one.",began
verb + to-infinitive,advanced,"Susan placed more blankets around him when he {beginning,begun} to shiver.",began
verb + to-infinitive,beginner,Let's {trying} to read.,try
verb + to-infinitive,beginner,I {trying} to study Chinese.,try
verb + to-infinitive,beginner,She {trying} to bake a cake.,tried
verb + to-infinitive,beginner,He {trying} to sing a song.,tried
verb + to-infinitive,beginner,The boys {trying} to fly the kite.,tried
verb + to-infinitive,beginner,I {trying} to clean up.,tried
verb + to-infinitive,beginner,Please {trying} to keep the noise down.,try
verb + to-infinitive,beginner,He {trying} not to cry.,tried
verb + to-infinitive,beginner,Have you {trying} to drive a car?,tried
verb + to-infinitive,intermediate,I {trying} to clean up the mess.,tried
verb + to-infinitive,intermediate,I {trying} to convince her to stay here.,tried
verb + to-infinitive,intermediate,I {trying} not to look but it was too tempting.,tried
verb + to-infinitive,intermediate,"I {trying} not to listen, but they were speaking very loudly.",tried
verb + to-infinitive,intermediate,I {trying} to stop the car but the road was wet.,tried
verb + to-infinitive,intermediate,He {trying} to spread a message of kindness and compassion.,tries
verb + to-infinitive,intermediate,I {trying} to watch all the episodes but I got sleepy.,tried
verb + to-infinitive,intermediate,She {trying} to dry the clothes in her room.,tried
verb + to-infinitive,advanced,I {trying} to clean up the mess before she got home.,tried
verb + to-infinitive,advanced,I {trying} to do my homework but was distracted by my neighbor's loud television.,tried
verb + to-infinitive,advanced,"I {trying} to finish the book before it was due, but I just couldn't find the time.",tried
verb + to-infinitive,advanced,We {trying} to learn how to play that song by watching a YouTube video.,tried
