sub_type,difficulty_level,sentence_corpus,correct_answers,error_words
8,3,Indira Gandhi was a woman {} many people credit for shaping her country's society.,{whom},"{who,what,where,which}"
8,3,Joan of Arc was a woman {} the British burned at the stake for encouraging the French to rebel.,{whom},"{who,what,where,which}"
8,3,The woman {} the reporters were following at high speed in the tunnel was Princess Diana.,{whom},"{who,what,where,which}"
8,3,Margaret Thatcher was a woman {} many credited with turning around the British economy.,{whom},"{who,what,where,which}"
8,3,The woman {} some claimed to be the missing daughter of the Czar was proved to be a fraud.,{whom},"{who,what,where,which}"
8,3,Anne Frank was a young woman {} the Nazis killed during World War II.,{whom},"{who,what,where,which}"
8,3,Emily Dickinson was a woman {} many poets appreciate.,{whom},"{who,what,where,which}"
8,3,The women {} we met yesterday had arrived in this country only last week.,{whom},"{who,what,where,which}"
8,3,The women {} we saw at the concert are very famous in their home country.,{whom},"{who,what,where,which}"
8,3,The women {} we heard at the conference today were excellent speakers.,{whom},"{who,what,where,which}"
8,1,He is the man {} I saw.,{whom},"{who,what,where,which}"
8,1,She is the woman {} he married.,{whom},"{who,what,where,which}"
8,1,He is the son {} they raised.,{whom},"{who,what,where,which}"
8,1,I didn't know anyone {} they knew.,{whom},"{who,what,where,which}"
8,1,They had several children {} they loved.,{whom},"{who,what,where,which}"
8,1,The man took several hostages {} he killed.,{whom},"{who,what,where,which}"
8,1,The monster {} Harry killed was Voldemort.,{whom},"{who,what,where}"
8,1,The monsters {} they fought were called Dementors.,{whom},"{who,what,where}"
8,1,The creatures {} they saved were grateful.,{whom},"{who,what,where}"
8,1,The wizard {} he lost was his godfather.,{whom},"{who,what,where,which}"
8,2,The copilot {} I met was dressed in an Air Canada uniform.,{whom},"{who,what,where,which}"
8,2,That is the driver {} he blamed for his car accident.,{whom},"{who,what,where,which}"
8,2,The counselor {} we heard speak was a psychologist.,{whom},"{who,what,where,which}"
8,2,He beat his opponent {} he later described as fierce.,{whom},"{who,what,where,which}"
8,2,The cabdriver {} he hailed refused to stop.,{whom},"{who,what,where,which}"
8,2,The doctor {} she sees plans to retire.,{whom},"{who,what,where,which}"
8,2,History is full of child leaders {} were manipulated by others.,{who},"{who,what,where,which}"
8,2,History is full of politicians {} we know were corrupt.,{whom},"{who,what,where,which}"
8,2,The patients {} they treat there all have cancer.,{whom},"{who,what,where,which}"
8,2,The other parents {} I met were also concerned about bullying.,{whom},"{who,what,where,which}"
8,3,"The director, {} we had known for many years, gave us tickets to the performance.",{whom},"{who,what,where,which}"
8,3,The actors {} the press often hounds are paying a high price for their fame.,{whom},"{who,what,where,which}"
8,3,The detectives {} were investigating came by again and left their business cards.,{who},"{who,what,where,which}"
8,3,The contractor {} they had hired subcontracted the work out to a cheaper company.,{whom},"{who,what,where,which}"
8,3,The assembly was gathered to honor several people {} were identified as the bravest of the warriors.,{who},"{who,what,where,which}"
8,3,The group of evil wizards {} they fought were called Death Eaters.,{whom},"{who,what,where,which}"
8,3,Staff {} are hired by famous people are often required to sign non-disclosure contracts.,{who},"{who,what,where,which}"
8,3,The customers {} we want to attract are young people with a disposable income.,{whom},"{who,what,where,which}"
8,3,The employees {} they fired were all guilty of harassing the new recruits.,{whom},"{who,what,where,which}"
8,3,The hockey teams {} he follows are mainly from the Western Division.,{whom},"{who,what,where,which}"
9,1,{} Jack nor Tom went out today.,{neither},{either}
9,1,It was {} too cold nor hot today.,{neither},{either}
9,1,I know about {} Emily nor Emma.,{neither},{either}
9,1,I have {} time nor money.,{neither},{either}
9,1,She has {} a mom nor dad.,{neither},{either}
9,1,I like {} vegetables nor fruits.,{neither},{either}
9,1,She has {} a sister nor a brother.,{neither},{either}
9,1,There are {} people nor animals outside.,{neither},{either}
9,1,I play {} soccer nor basketball.,{neither},{either}
9,1,I like {} natto nor ramen.,{neither},{either}
9,2,My mother is {} pleased nor dissatisfied with my grades.,{neither},{either}
9,2,{} bullet trains nor airplanes are fast enough.,{neither},{either}
9,2,{} my parents nor the school is happy with me.,{neither},{either}
9,2,{} Jeremy's parents nor his friends knew his whereabouts.,{neither},{either}
9,2,{} his older sister nor his younger sister has a job.,{neither},{either}
9,2,My father {} drinks nor smokes.,{neither},{either}
9,2,I like {} adventure novels nor horror stories.,{neither},{either}
9,2,{} Anna nor her peers were ready for the final exam.,{neither},{either}
9,2,{} New York nor Los Angeles are quiet cities.,{neither},{either}
9,2,You are {} overweight nor too skinny.,{neither},{either}
9,3,{} America nor Japan wants to start a trade war.,{neither},{either}
9,3,{} plan A nor plan B will reduce enough carbon dioxide to significantly improve earth's condition.,{neither},{either}
9,3,{} my friend nor I will go to the high school reunion since we didn't have close friends there.,{neither},{either}
9,3,{} my sister nor I wanted to go to the gym to exercise because we felt too lazy today.,{neither},{either}
9,3,{} the Democrats nor the Republicans were willing to back down during the debate.,{neither},{either}
9,3,{} all the money in the world nor fame can get you true love.,{neither},{either}
9,3,I would want to live in {} an extremely hot climate nor an extremely cold one.,{neither},{either}
9,3,{} complaining nor procrastinating will help you get your work done.,{neither},{either}
9,3,"{} high school students nor college students are completely sensible, and often prioritize fun things.",{neither},{either}
9,3,{} a hamburger nor tomato sauce spaghetti sounds appetizing to me right now.,{neither},{either}
12,1,"If I {} you, I would go.",{were},"{was,be,being,been}"
12,1,"If I {} her, I would leave.",{were},"{was,be,being,been}"
12,1,"If I {} you, I'd take an umbrella.",{were},"{was,be,being,been}"
12,1,"If I {} you, I wouldn't eat that.",{were},"{was,be,being,been}"
12,1,"If I {} there, I'd go with you.",{were},"{was,be,being,been}"
12,1,"If I {} a king, I'd make peace.",{were},"{was,be,being,been}"
12,1,"If I {} rich, I'd build a school.",{were},"{was,be,being,been}"
12,1,"If I {} still single, I'd get married.",{were},"{was,be,being,been}"
12,2,I wouldn't do that if I {} you.,{were},"{was,be,being,been}"
12,2,"If I {} you, I wouldn't worry about it.",{were},"{was,be,being,been}"
12,2,"If I {} you, I'd buy bottled water and batteries.",{were},"{was,be,being,been}"
12,2,"If I {} to guess, I would say it is a good choice.",{were},"{was,be,being,been}"
12,2,I could reach it if I {} a little bit taller.,{were},"{was,be,being,been}"
12,2,I could compete if I {} a little bit stronger.,{were},"{was,be,being,been}"
12,2,"If I {} a better English speaker, I could get a job overseas.",{were},"{was,be,being,been}"
12,2,"If I {} an animal, I'd be a cat.",{were},"{was,be,being,been}"
12,2,"If I {} feeling better, I would definitely go with you.",{were},"{was,be,being,been}"
12,2,"If I {} you, I wouldn't push your luck.",{were},"{was,be,being,been}"
12,3,"If I {} you, I'd go to bed early tonight so you can be fresh tomorrow.",{were},"{was,be,being,been}"
12,3,"If I {} in charge, I would change the policies for teachers.",{were},"{was,be,being,been}"
12,3,I'd go out if I {}n't feeling so sick.,{were},"{was,be,being,been}"
12,3,"If I {} an engineer, I would look for a chemical safer than water to use for geothermal energy production.",{were},"{was,be,being,been}"
12,3,"If I {} a parent, I would feed my children only very healthy food.",{were},"{was,be,being,been}"
12,3,If only I {} able to save her from the flood.,{were},"{was,be,being,been}"
12,3,Would you come to the party if I {} to invite your classmates?,{were},"{was,be,being,been}"
12,3,"If I {} to sign up for an aikido class, would you come with me?",{were},"{was,be,being,been}"
12,3,"If I {} Harry Potter, I am not sure I would have been so brave in those battles with his enemy.",{were},"{was,be,being,been}"
12,3,"If I {} the prime minister, I think it would be difficult to balance the views of industry leaders who want nuclear power and citizens who don't.",{were},"{was,be,being,been}"
12,1,"If you {} me, what would you do?",{were},"{was,be,being,been}"
12,1,What would you do if you {} me?,{were},"{was,be,being,been}"
12,1,"If you {} free, would you go?",{were},"{was,be,being,been}"
12,1,"If you {} able, would you join us?",{were},"{was,be,being,been}"
12,1,"If you {} taller, would you play basketball?",{were},"{was,be,being,been}"
12,1,"If you {} bored, what would you do?",{were},"{was,be,being,been}"
12,1,"If you {} me, where would you live?",{were},"{was,be,being,been}"
12,1,"If you {} me, what would you eat?",{were},"{was,be,being,been}"
12,1,"If you {} me, what would you wear?",{were},"{was,be,being,been}"
12,1,"If you {} me, what would you choose?",{were},"{was,be,being,been}"
12,2,"If you {} able to live anywhere, where would you choose?",{were},"{was,be,being,been}"
12,2,"If you {} an actor, what role would you want to play?",{were},"{was,be,being,been}"
12,2,"If you {} in my shoes, what would you do?",{were},"{was,be,being,been}"
12,2,"If you {} an animal, which would you choose?",{were},"{was,be,being,been}"
12,2,"If you {} in charge, what would you do?",{were},"{was,be,being,been}"
12,2,"If you {} here, we would have so much fun together.",{were},"{was,be,being,been}"
12,3,"If you {} a musician, what instrument would you play?",{were},"{was,be,being,been}"
12,3,"If you {} able to go anywhere or do anything, what would you do?",{were},"{was,be,being,been}"
12,3,"If you {} unemployed, where would you look for another job?",{were},"{was,be,being,been}"
12,3,"If you {} as hungry as I am, you wouldn't be taking so long to get ready to go out for dinner.",{were},"{was,be,being,been}"
12,3,"If you {} an economist, would you recommend raising taxes?",{were},"{was,be,being,been}"
12,3,"If you {} the one who had gotten fired, wouldn't you see this from my point of view?",{were},"{was,be,being,been}"
12,3,"If you {} thinking of coming over, today is the best day.",{were},"{was,be,being,been}"
12,3,"If you {} a parent, would you let your children watch these televisions shows?",{were},"{was,be,being,been}"
12,3,"If you {} able to vote in the next election, what party would you support?",{were},"{was,be,being,been}"
12,1,"If he {} here, I'd invite him.",{were},"{was,be,being,been}"
12,1,"If he {} in Japan, I'd know.",{were},"{was,be,being,been}"
12,1,"If he {} alive, he would tell you.",{were},"{was,be,being,been}"
12,1,"If he {} alive, he would be here.",{were},"{was,be,being,been}"
12,1,"If he {} my father, I'd write him.",{were},"{was,be,being,been}"
12,1,"If he {} my father, I'd forgive him.",{were},"{was,be,being,been}"
12,1,"If he {} my brother, I'd help him.",{were},"{was,be,being,been}"
12,1,"If he {} a woman, he'd be beautiful.",{were},"{was,be,being,been}"
12,1,"If he {} here, he'd make us laugh.",{were},"{was,be,being,been}"
12,1,"If he {} in Japan, I'd invite him.",{were},"{was,be,being,been}"
12,2,"If he {} a few years older, he could join.",{were},"{was,be,being,been}"
12,2,"If he {} my father, I'd tell him how I felt.",{were},"{was,be,being,been}"
12,2,"If he {} my husband, I'd divorce him.",{were},"{was,be,being,been}"
12,2,"If he {} my son, I'd help him make better choices.",{were},"{was,be,being,been}"
12,2,"If he {} my brother, I wouldn't tell our parents what he did.",{were},"{was,be,being,been}"
12,2,"If he {} here now, he would be so proud of you.",{were},"{was,be,being,been}"
12,2,"If he {} going to be late, he would have called.",{were},"{was,be,being,been}"
12,2,"If he {} playing for the Yankees, he'd be more famous.",{were},"{was,be,being,been}"
12,2,"If he {} my friend, I'd tell him the truth.",{were},"{was,be,being,been}"
12,2,"If he {} on this team, I know we'd win.",{were},"{was,be,being,been}"
12,3,"If he {} just a few years older, he would be able to marry without permission.",{were},"{was,be,being,been}"
12,3,"If he {} just a few years older, he could apply for that training.",{were},"{was,be,being,been}"
12,3,"If he {} a few kilograms heavier, he would not qualify for the parachute training.",{were},"{was,be,being,been}"
12,3,He could box as a light weight if he {} a few kilograms heavier.,{were},"{was,be,being,been}"
12,3,"If he {} interested in playing professionally, he would be able to be on the Olympic team.",{were},"{was,be,being,been}"
12,3,"If he {} the first NHL draft pick, the team would gain a valuable player.",{were},"{was,be,being,been}"
12,3,"If he {} a banker, he might lose his job in this financial crisis.",{were},"{was,be,being,been}"
12,3,"If he {} here now, I know he would do anything for you.",{were},"{was,be,being,been}"
12,3,I can't help but wonder how things would be different if he {} here.,{were},"{was,be,being,been}"
12,3,"He could fix this for us if he {} a programmer, but he can't write code.",{were},"{was,be,being,been}"
12,1,"If it {} me, I'd leave.",{were},"{was,be,being,been}"
12,1,"If it {} me, I'd quit.",{were},"{was,be,being,been}"
12,1,"If it {} me, I'd join.",{were},"{was,be,being,been}"
12,1,"If it {} me, I'd tell the truth.",{were},"{was,be,being,been}"
12,2,"If it {} mine, why did you take it?",{were},"{was,be,being,been}"
12,2,"If it {} mine, I'd gladly give it to you.",{were},"{was,be,being,been}"
12,2,"If it {} his, why did you give it to me?",{were},"{was,be,being,been}"
12,2,"If it {} Sunday, I'd happily sleep late.",{were},"{was,be,being,been}"
12,2,"If it {} possible, I would completely change all English grammar.",{were},"{was,be,being,been}"
12,2,"If it {} up to me, I'd go for it.",{were},"{was,be,being,been}"
12,2,"If it {} allowed, I'd let students use these software tools.",{were},"{was,be,being,been}"
12,2,"If it {} not safe, I would not let him go.",{were},"{was,be,being,been}"
12,2,"If it {} rated R, I would not have taken them to see it.",{were},"{was,be,being,been}"
12,2,"If it {} my job, I would try not to work so much overtime.",{were},"{was,be,being,been}"
12,3,"If it {} possible to make English an easier language to speak and learn, I would simplify it.",{were},"{was,be,being,been}"
12,3,"If it {} possible to eat more chocolate and stay fit, I would do it.",{were},"{was,be,being,been}"
12,3,"If it {} summer, we could stay up as late as we wanted.",{were},"{was,be,being,been}"
12,3,"If it {} not for the heavy snow, I'd gladly go with you.",{were},"{was,be,being,been}"
12,3,"If it {} up to me, we would stay right here for the holiday and not have to deal with all the traffic.",{were},"{was,be,being,been}"
12,3,"If it {} more dangerous to travel in that area, I would have asked him not to go.",{were},"{was,be,being,been}"
12,3,"If it {}n't so cold and wet, I would sweep up all the fallen leaves.",{were},"{was,be,being,been}"
12,3,"If it {}n't a question of time, I would be finished by now.",{were},"{was,be,being,been}"
12,3,"If it {}n't so important, she would not keep reminding you to work on it.",{were},"{was,be,being,been}"
12,3,"If it {} my project, I would have fired her a long time ago.",{were},"{was,be,being,been}"
12,1,Wouldn't it be great if they {} here?,{were},"{was,be,being,been}"
12,1,"If they {} puppies, I'd take one.",{were},"{was,be,being,been}"
12,1,"If they {} healthy, I'd eat them.",{were},"{was,be,being,been}"
12,1,"If they {} ripe, we could eat them.",{were},"{was,be,being,been}"
12,1,"If they {} safe, I could relax.",{were},"{was,be,being,been}"
12,1,"If they {} late, they should have called.",{were},"{was,be,being,been}"
12,1,I would know if they {} here.,{were},"{was,be,being,been}"
12,1,I would hear if they {} here.,{were},"{was,be,being,been}"
12,1,I would be happy if they {} here.,{were},"{was,be,being,been}"
12,1,I would be sad if they {} gone.,{were},"{was,be,being,been}"
12,2,"If they {} on sale, I would buy more than one.",{were},"{was,be,being,been}"
12,2,"If they {} too busy, they should have just said so.",{were},"{was,be,being,been}"
12,2,"If they {} at my house, I would have fed them.",{were},"{was,be,being,been}"
12,2,I would not know what to do if they {} arrested.,{were},"{was,be,being,been}"
12,2,I would buy many tickets if they {} for the charitable purposes.,{were},"{was,be,being,been}"
12,2,I would join the volunteer activities if they {} for the victims of the disaster.,{were},"{was,be,being,been}"
12,2,"If they {} in an earthquake, the cell phones might not work.",{were},"{was,be,being,been}"
12,2,"If they {} in a flood zone, they might not have survived.",{were},"{was,be,being,been}"
12,2,"If they {} still good, I would have eaten them.",{were},"{was,be,being,been}"
12,3,"If they {} just a little older, I wouldn't have to drive them to those early morning practice games.",{were},"{was,be,being,been}"
12,3,"If they {} my children, I would not allow them to run wild in public like that.",{were},"{was,be,being,been}"
12,3,"If they {} in Hawaii, they would feel much more relaxed.",{were},"{was,be,being,been}"
12,3,"If they {} still here, I know my parents would be proud of my sons.",{were},"{was,be,being,been}"
12,3,"If they {} not too expensive, I'd put solar panels on my house.",{were},"{was,be,being,been}"
12,3,"If they {} hoping to book a tennis court, they needed to call very early in the morning.",{were},"{was,be,being,been}"
12,3,"If they {} rude, I would just ignore them.",{were},"{was,be,being,been}"
12,3,"They said that if they {} in town, they would get in touch with us.",{were},"{was,be,being,been}"
12,3,"If they {} worried about flight delays, they should have checked the weather.",{were},"{was,be,being,been}"
12,1,"If we {} sisters, I'd be so happy!",{were},"{was,be,being,been}"
12,1,"If we {} married, we could live here.",{were},"{was,be,being,been}"
12,1,"If we {} men, they would listen.",{were},"{was,be,being,been}"
12,1,"If we {} taller, we could see.",{were},"{was,be,being,been}"
12,1,"If we {} richer, we could travel.",{were},"{was,be,being,been}"
12,1,"If we {} there, we could help you.",{were},"{was,be,being,been}"
12,1,"If we {} older, we'd be dead.Just kidding, ...we'd retire.",{were},"{was,be,being,been}"
12,1,"If we {} angels, we could love everyone.",{were},"{was,be,being,been}"
12,1,"If we {} younger, I'd study aikido.",{were},"{was,be,being,been}"
12,1,"If we {} younger, I'd travel more often.",{were},"{was,be,being,been}"
12,2,"If we {} stuck in that airport, we'd be so tired.",{were},"{was,be,being,been}"
12,2,"If we {} able to fly, I'd never walk.",{were},"{was,be,being,been}"
12,2,"If we {} musicians, wow...wouldn't that be great?",{were},"{was,be,being,been}"
12,2,"If we {} serious about fitness, we would exercise every morning.",{were},"{was,be,being,been}"
12,2,"If we {} smarter, we would have finished this by now.",{were},"{was,be,being,been}"
12,2,"If we {} wise, we would be grateful every day.",{were},"{was,be,being,been}"
12,2,"If we {} all alike, life would be boring.",{were},"{was,be,being,been}"
12,2,"If we {} all the same, would life be safer?",{were},"{was,be,being,been}"
12,2,"If we {} to come, what would we need to bring?",{were},"{was,be,being,been}"
12,2,"If we {} to buy it now, how much would it cost?",{were},"{was,be,being,been}"
12,3,"If we {} running the government, I'd make sure teachers made more money.",{were},"{was,be,being,been}"
12,3,"If we {} in charge of the government, I would pay more money to people who help people than to bankers.",{were},"{was,be,being,been}"
12,3,"If we {} to stop now, we could get home before dark.",{were},"{was,be,being,been}"
12,3,"If we {} foreigners, we would better understand how it feels to be the outsider.",{were},"{was,be,being,been}"
12,3,"If we {} here by ourselves, we could make lots of noise.",{were},"{was,be,being,been}"
12,3,"If we {} here by ourselves, we could turn the music up really loud.",{were},"{was,be,being,been}"
12,3,"If we {} really honest with ourselves, we would forgive others more than we do.",{were},"{was,be,being,been}"
12,3,"If we {} willing to risk it, we could climb up on the roof to watch the moon.",{were},"{was,be,being,been}"
12,3,"If we {} braver, we would stand up to people to discriminate against our Muslim neighbors.",{were},"{was,be,being,been}"
12,3,"If we {} better parents, we would have loved more and yelled less.",{were},"{was,be,being,been}"
4,1,I {} to sleep.,{want},{wanting}
4,1,Do you {} to go?,{want},{wanting}
4,1,He {} to eat soon.,{wants},{wanting}
4,1,I {} to visit Kyoto.,{want},{wanting}
4,1,I {} to see the cherry blossoms.,{want},{wanting}
4,1,I {} to eat sushi.,{want},{wanting}
4,1,She {} to play cards.,{wants},{wanting}
4,1,They {} to go home.,{want},{wanting}
4,1,I {} to see a movie.,{want},{wanting}
4,1,Do you {} to read this book?,{want},{wanting}
4,2,Many people {} to be rich and famous.,{want},{wanting}
4,2,She {} to enter her photos into the contest.,{wanted},{wanting}
4,2,Her parents {} her to be a doctor.,{wanted},{wanting}
4,2,The survivors {} to find their missing family members.,{wanted},{wanting}
4,2,I {} to finish early so I could go to the park.,{wanted},{wanting}
4,2,His children {} him to take them all out for ice cream.,{wanted},{wanting}
4,2,She {} to make a difference in the lives of the orphans.,{wanted},{wanting}
4,2,Many people don't really know what they {} to do.,{want},{wanting}
4,2,Do you {} to eat in front of the television tonight?,{want},{wanting}
4,2,I {} to hang the futons in the morning sun.,{want},{wanting}
4,3,I called but you were busy and I didn't {} to interrupt.,{want},{wanting}
4,3,So many high school graduates don't know what they {} to study at university.,{want},{wanting}
4,3,She {} to write a book but ended up just reading one instead.,{wanted},{wanting}
4,3,"I {} to know where it was, but I couldn't get an answer.",{wanted},{wanting}
4,3,I {} to hear about your trip to all those countries in Europe.,{want},{wanting}
4,3,She {} to study law but could not get a scholarship to law school.,{wanted},{wanting}
4,3,Harry didn't {} to put his friends at risk when he faced his enemy.,{want},{wanting}
4,3,Everyone {} to eat there but no one wanted to pay the bill.,{wanted},{wanting}
4,3,I've always {} to know how so many people can live together so peacefully.,{wanted},{wanting}
4,1,We {} to understand.,{began},"{beginning,begun}"
4,1,I {} to see.,{began},"{beginning,begun}"
4,1,It {} to rain.,{began},"{beginning,begun}"
4,1,The water {} to rise.,{began},"{beginning,begun}"
4,1,He {} to cry.,{began},"{beginning,begun}"
4,1,The dog {} to bark.,{began},"{beginning,begun}"
4,1,The sun {} to rise.,{began},"{beginning,begun}"
4,1,The flowers {} to open.,{began},"{beginning,begun}"
4,1,The animals {} to run.,{began},"{beginning,begun}"
4,2,"As soon as the room {} to shake, we climbed under the table.",{began},"{beginning,begun}"
4,2,"By three o'clock, we all {} to watch the clock.",{began},"{beginning,begun}"
4,2,We finally decided to sell the house when the roof {} to leak.,{began},"{beginning,begun}"
4,2,He {} to fear for their safety.,{began},"{beginning,begun}"
4,2,The choir stood and {} to sing.,{began},"{beginning,begun}"
4,2,"The tea kettle {} to whistle, so I took two cups from the shelf.",{began},"{beginning,begun}"
4,2,She {} to walk more and more slowly.,{began},"{beginning,begun}"
4,2,Her memory {} to fail until finally she no longer knew me.,{began},"{beginning,begun}"
4,2,"I {} to feel better, so I got some work done.",{began},"{beginning,begun}"
4,3,"Once that sort of mole {} to turn black, you really must see a doctor.",{begins},"{beginning,begun}"
4,3,"When it {} to rain, we raced inside, laughing.",{began},"{beginning,begun}"
4,3,"When the sky {} to darken, she closed all the windows and locked the doors.",{began},"{beginning,begun}"
4,3,"When he {} to cry, she picked him up and hugged him tightly.",{began},"{beginning,begun}"
4,3,"His mother {} to complain again, so she left the room.",{began},"{beginning,begun}"
4,3,"When the ink on the documents {} to fade, she knew it was time to change the printer cartridge.",{began},"{beginning,begun}"
4,3,"The music {} to play, the audience stood, and the graduates slowly walked into the auditorium.",{began},"{beginning,begun}"
4,3,"When the room {} to heat up, the students fell asleep one by one.",{began},"{beginning,begun}"
4,3,Susan placed more blankets around him when he {} to shiver.,{began},"{beginning,begun}"
4,1,Let's {} to read.,{try},{trying}
4,1,I {} to study Chinese.,{try},{trying}
4,1,She {} to bake a cake.,{tried},{trying}
4,1,He {} to sing a song.,{tried},{trying}
4,1,The boys {} to fly the kite.,{tried},{trying}
4,1,I {} to clean up.,{tried},{trying}
4,1,Please {} to keep the noise down.,{try},{trying}
4,1,He {} not to cry.,{tried},{trying}
4,1,Have you {} to drive a car?,{tried},{trying}
4,2,I {} to clean up the mess.,{tried},{trying}
4,2,I {} to convince her to stay here.,{tried},{trying}
4,2,I {} not to look but it was too tempting.,{tried},{trying}
4,2,"I {} not to listen, but they were speaking very loudly.",{tried},{trying}
4,2,I {} to stop the car but the road was wet.,{tried},{trying}
4,2,He {} to spread a message of kindness and compassion.,{tries},{trying}
4,2,I {} to watch all the episodes but I got sleepy.,{tried},{trying}
4,2,She {} to dry the clothes in her room.,{tried},{trying}
4,3,I {} to clean up the mess before she got home.,{tried},{trying}
4,3,I {} to do my homework but was distracted by my neighbor's loud television.,{tried},{trying}
4,3,"I {} to finish the book before it was due, but I just couldn't find the time.",{tried},{trying}
4,3,We {} to learn how to play that song by watching a YouTube video.,{tried},{trying}
4,3,"I {} to use an electric fan, but it was just too hot to sleep last night.",{tried},{trying}
4,3,"We {} our best to figure it out, but the instructions were very confusing.",{tried},{trying}
4,3,"We {} to do our best, but sometimes we make mistakes.",{try},{trying}
4,1,I {} to say something.,{started},{starting}
4,1,I {} to cry.,{started},{starting}
4,1,They {} to laugh.,{started},{starting}
4,1,The racers {} to run.,{started},{starting}
4,1,The glass {} to fall.,{started},{starting}
4,1,The room {} to shake.,{started},{starting}
4,1,The band {} to play.,{started},{starting}
4,1,The presenter {} to speak.,{started},{starting}
4,1,The soldiers {} to shoot.,{started},{starting}
4,1,The dogs {} to fight.,{started},{starting}
4,2,It {} to rain just as I walked outside.,{started},{starting}
4,2,She {} to speak and the door flew open.,{started},{starting}
4,2,I {} to clean out some closets but got distracted.,{started},{starting}
4,2,I {} to write a book and then forgot all about it.,{started},{starting}
4,2,I {} to apologize but she wouldn't listen.,{started},{starting}
4,2,I grabbed her arm just as she {} to fall.,{started},{starting}
4,2,"As soon as the movie ended, everyone {} to cry.",{started},{starting}
4,2,The sun {} to rise and the animals began to move around.,{started},{starting}
4,2,"She {} to protest, and then inexplicably, sat down again.",{started},{starting}
4,3,They were initially quite shy when they first {} to work together.,{started},{starting}
4,3,"Once it {} to rain, the traffic started to slow down to avoid accidents on the wet roads.",{started},{starting}
4,3,"The wind {} to blow from the southeast, bringing stinging rain with it.",{started},{starting}
4,3,"Before she {} to cook dinner, she waited until all the boys were home.",{started},{starting}
4,3,He {} to complain but his teacher just shook her head.,{started},{starting}
4,3,"Once she {} to become famous, it was difficult to go out without attracting photographers.",{started},{starting}
4,3,"She {} to glue the pieces back to together, but then realized it was hopeless.",{started},{starting}
4,3,"As soon as they heard the loudspeakers, the policemen {} to run toward the intersection.",{started},{starting}
4,3,He has {} to read several books at the same time but hasn't finished any yet.,{started},{starting}
4,1,I {} to sing.,{like},{liking}
4,1,She {} to play the guitar.,{likes},{liking}
4,1,They {} to play basketball in the afternoon.,{like},{liking}
4,1,He {} to sleep late on Sundays.,{likes},{liking}
4,1,We {} to go on vacation in the summer.,{like},{liking}
4,1,Birds {} to eat fruit.,{like},{liking}
4,1,How would you {} to pay?,{like},{liking}
4,1,Would you {} to come with us?,{like},{liking}
4,1,Where would you {} to live?,{like},{liking}
4,1,What would you {} to drink?,{like},{liking}
4,2,I'd {} to make a donation to the campaign.,{like},{liking}
4,2,She {} to volunteer at the orphanage.,{likes},{liking}
4,2,He {} to take very long hot showers.,{likes},{liking}
4,2,Teens these days often {} to spend hours on Facebook.,{like},{liking}
4,2,I {} to finish all my work before dinner.,{like},{liking}
4,2,Tourists often {} to eat sushi in Tsukiji.,{like},{liking}
4,2,She {} to shop when she gets depressed.,{likes},{liking}
4,2,He {} to find discount prices on brand goods.,{likes},{liking}
4,2,We {} to take bus tours when we visit new cities.,{like},{liking}
4,2,I'd {} to know where my car keys are.,{like},{liking}
4,3,I'd {} to be able to get all this cleaned up before my mother comes to visit.,{like},{liking}
4,3,That teacher {} to assign a lot of homework on the weekends.,{likes},{liking}
4,3,"On behalf of the committee, we would {} to present this award to Sandra for her great work.",{like},{liking}
4,3,We {} to watch people walking down the street in their colorful clothes.,{like},{liking}
4,3,She {} to sit on the terrace and watch the sunset when the weather is clear.,{likes},{liking}
4,3,I would really {} to join you but I am busy that night.,{like},{liking}
4,1,I {} to sleep.,{need},{needing}
4,1,I {} to go home.,{need},{needing}
4,1,I {} to find a ride.,{need},{needing}
4,1,I {} to buy a phone.,{need},{needing}
4,1,He {} to call his parents.,{needs},{needing}
4,1,She {} to use your phone.,{needs},{needing}
4,1,I {} to see a doctor.,{need},{needing}
4,1,I {} to get a job.,{need},{needing}
4,1,I {} to find my cat.,{need},{needing}
4,1,I {} to walk my dog.,{need},{needing}
4,2,I {} to find out what this email means.,{need},{needing}
4,2,We {} to make some decisions on what we will do this summer.,{need},{needing}
4,2,I {} to go to the bank to check our account balance.,{need},{needing}
4,2,I think I {} to lose a few more kilograms.,{need},{needing}
4,2,I {} to eat something if you want me to think clearly.,{need},{needing}
4,2,She {} to find a ride home tonight.,{needs},{needing}
4,2,He {} to know how much the tuition will cost.,{needs},{needing}
4,2,They {} to pool their money to buy flowers for their mother.,{need},{needing}
4,2,The company {} to take a good look at their business practices.,{needs},{needing}
4,2,I {} to sell some of these books before I can buy more.,{need},{needing}
4,3,What we really {} to do is to figure out the priorities first.,{need},{needing}
4,3,The movers {} to take an inventory before they could pack.,{needed},{needing}
4,3,We {} to get this invoice approved before it can be paid.,{need},{needing}
4,3,Most high school graduates {} a college degree if they want a good job.,{need},{needing}
4,3,"You {} to tell your doctor about any chest pains, or pains in your arm.",{need},{needing}
4,3,I don't {} you to tell me what to do.,{need},{needing}
4,3,Don't you {} to take these folders to your meeting?,{need},{needing}
4,3,Doesn't she {} to apply to more than one university?,{need},{needing}
4,3,We didn't {} to hear all about his medical complaints.,{need},{needing}
4,1,I {} to speak Japanese.,{learned},"{learning,learnt}"
4,1,She {} to speak English.,{learned},"{learning,learnt}"
4,1,They {} to write in kanji.,{learned},"{learning,learnt}"
